"< Measurement Data Text Output >"
""
"Date/Time","@date()","649","650","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","ßC","","","","","",""
"2021/11/15 18:39'01","44515.7770949074","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:40'01","44515.7777893519","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:41'01","44515.7784837963","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:42'01","44515.7791782407","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:43'01","44515.7798726852","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:44'01","44515.7805671296","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:45'01","44515.7812615741","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:46'01","44515.7819560185","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:47'01","44515.7826504630","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:48'01","44515.7833449074","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:49'01","44515.7840393519","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:50'01","44515.7847337963","  25.8000","  25.9000","","","","","","",
"2021/11/15 18:51'01","44515.7854282407","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:52'01","44515.7861226852","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:53'01","44515.7868171296","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:54'01","44515.7875115741","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:55'01","44515.7882060185","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:56'01","44515.7889004630","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:57'01","44515.7895949074","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:58'01","44515.7902893519","  25.7000","  25.9000","","","","","","",
"2021/11/15 18:59'01","44515.7909837963","  25.7000","  25.9000","","","","","","",
"2021/11/15 19:00'01","44515.7916782407","  25.7000","  25.9000","","","","","","",
"2021/11/15 19:01'01","44515.7923726852","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:02'01","44515.7930671296","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:03'01","44515.7937615741","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:04'01","44515.7944560185","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:05'01","44515.7951504630","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:06'01","44515.7958449074","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:07'01","44515.7965393519","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:08'01","44515.7972337963","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:09'01","44515.7979282407","  25.7000","  25.8000","","","","","","",
"2021/11/15 19:10'01","44515.7986226852","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:11'01","44515.7993171296","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:12'01","44515.8000115741","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:13'01","44515.8007060185","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:14'01","44515.8014004630","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:15'01","44515.8020949074","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:16'01","44515.8027893519","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:17'01","44515.8034837963","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:18'01","44515.8041782407","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:19'01","44515.8048726852","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:20'01","44515.8055671296","  25.6000","  25.8000","","","","","","",
"2021/11/15 19:21'01","44515.8062615741","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:22'01","44515.8069560185","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:23'01","44515.8076504630","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:24'01","44515.8083449074","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:25'01","44515.8090393519","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:26'01","44515.8097337963","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:27'01","44515.8104282407","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:28'01","44515.8111226852","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:29'01","44515.8118171296","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:30'01","44515.8125115741","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:31'01","44515.8132060185","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:32'01","44515.8139004630","  25.6000","  25.7000","","","","","","",
"2021/11/15 19:33'01","44515.8145949074","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:34'01","44515.8152893519","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:35'01","44515.8159837963","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:36'01","44515.8166782407","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:37'01","44515.8173726852","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:38'01","44515.8180671296","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:39'01","44515.8187615741","  25.5000","  25.7000","","","","","","",
"2021/11/15 19:40'01","44515.8194560185","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:41'01","44515.8201504630","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:42'01","44515.8208449074","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:43'01","44515.8215393519","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:44'01","44515.8222337963","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:45'01","44515.8229282407","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:46'01","44515.8236226852","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:47'01","44515.8243171296","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:48'01","44515.8250115741","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:49'01","44515.8257060185","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:50'01","44515.8264004630","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:51'01","44515.8270949074","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:52'01","44515.8277893519","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:53'01","44515.8284837963","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:54'01","44515.8291782407","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:55'01","44515.8298726852","  25.5000","  25.6000","","","","","","",
"2021/11/15 19:56'01","44515.8305671296","  25.5000","  25.6000","","","","","","",
